,ST,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRATX,DREM,SCHL,SEX,ESR,FOD1P,OCCP10
142,17,12,2,,2,2,,,,,,1,,,
143,17,16,51,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,4720.0
144,17,18,38,2.0,2,2,2.0,2.0,,2.0,16.0,1,3.0,,5620.0
145,17,53,59,1.0,2,2,2.0,1.0,,2.0,16.0,2,6.0,,4720.0
146,17,12,56,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,6402.0,5240.0
147,17,18,56,2.0,2,2,2.0,2.0,,2.0,20.0,2,6.0,,
148,17,4,82,2.0,1,2,2.0,2.0,,2.0,11.0,2,6.0,,
149,17,5,26,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,5301.0,6005.0
150,17,4,25,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6203.0,5160.0
151,17,13,56,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,20.0
152,17,13,54,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,9360.0
153,17,11,43,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,7340.0
154,17,10,43,2.0,2,2,2.0,2.0,,2.0,18.0,2,1.0,,5860.0
155,17,8,18,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,5860.0
156,17,42,30,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,4500.0
157,17,10,28,2.0,2,2,2.0,2.0,1.0,2.0,20.0,1,1.0,,3255.0
158,17,11,28,2.0,2,2,2.0,2.0,,2.0,20.0,2,6.0,,
159,17,9,6,2.0,2,2,,2.0,,2.0,3.0,1,,,
160,17,10,5,2.0,2,2,,2.0,,2.0,2.0,1,,,
161,17,9,2,,2,2,,,,,,1,,,
162,17,10,2,,2,2,,,,,,1,,,
163,17,78,42,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,3600.0,3300.0
