,ST,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRATX,DREM,SCHL,SEX,ESR,FOD1P,OCCP10
234,6,18,43,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,5200.0,1006.0
235,6,13,52,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,3301.0,2010.0
236,6,9,31,2.0,2,2,2.0,2.0,,2.0,21.0,2,2.0,6201.0,310.0
237,6,15,45,2.0,2,2,2.0,2.0,,2.0,21.0,1,6.0,5098.0,
238,6,11,0,,2,2,,,,,,2,,,
239,6,7,62,2.0,2,2,2.0,2.0,2.0,2.0,21.0,1,6.0,5507.0,
240,6,7,61,2.0,2,2,2.0,2.0,,2.0,22.0,2,6.0,2602.0,2310.0
241,6,12,29,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,4040.0
242,6,6,12,2.0,2,2,,2.0,,2.0,9.0,1,,,
243,6,6,8,2.0,2,2,,2.0,,2.0,5.0,1,,,
244,6,48,74,2.0,2,2,2.0,2.0,2.0,2.0,22.0,1,6.0,6000.0,
245,6,58,59,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,
246,6,10,33,2.0,2,2,2.0,2.0,,2.0,14.0,1,1.0,,4110.0
247,6,9,32,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,310.0
248,6,10,10,2.0,2,2,,2.0,,2.0,7.0,1,,,
249,6,10,8,2.0,2,2,,2.0,,2.0,5.0,1,,,
250,6,14,31,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,4020.0
251,6,13,27,2.0,2,2,2.0,2.0,,2.0,14.0,2,1.0,,4110.0
252,6,15,55,2.0,2,2,2.0,2.0,,2.0,1.0,1,1.0,,4110.0
253,6,10,10,2.0,2,2,,2.0,,2.0,7.0,1,,,
254,6,14,21,2.0,2,2,2.0,2.0,,2.0,18.0,2,6.0,,
255,6,20,3,,2,2,,,,,1.0,1,,,
256,6,19,2,,2,2,,,,,,2,,,
257,6,21,52,2.0,2,2,2.0,2.0,,2.0,9.0,1,1.0,,4250.0
258,6,17,5,2.0,2,2,,2.0,,2.0,4.0,1,,,
259,6,20,4,,2,2,,,,,1.0,1,,,
260,6,10,30,2.0,2,2,2.0,2.0,,2.0,18.0,2,1.0,,3600.0
261,6,12,29,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,9120.0
262,6,16,20,2.0,2,2,2.0,2.0,,2.0,13.0,2,3.0,,9920.0
263,6,10,66,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,3930.0
264,6,14,33,2.0,2,2,2.0,2.0,,2.0,20.0,1,1.0,,4760.0
265,6,14,43,2.0,2,2,2.0,2.0,,2.0,22.0,1,1.0,6201.0,8965.0
266,6,15,55,2.0,2,2,2.0,2.0,,2.0,1.0,1,1.0,,4720.0
267,6,13,43,2.0,2,2,2.0,2.0,,2.0,1.0,2,1.0,,9600.0
268,6,9,61,2.0,2,2,2.0,2.0,,2.0,24.0,1,6.0,6199.0,3060.0
269,6,20,28,2.0,2,2,2.0,2.0,,2.0,19.0,2,3.0,,2700.0
270,6,21,40,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,5098.0,9620.0
271,6,26,62,2.0,2,2,2.0,2.0,,2.0,1.0,2,3.0,,6050.0
272,6,33,22,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,9640.0
273,6,31,3,,2,2,,,,,1.0,2,,,
274,6,30,0,,2,2,,,,,,1,,,
275,6,24,17,2.0,2,2,2.0,2.0,,2.0,13.0,2,6.0,,
276,6,33,28,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6203.0,10.0
277,6,29,28,2.0,2,2,2.0,2.0,,2.0,15.0,1,1.0,,8810.0
278,6,34,22,2.0,2,2,2.0,2.0,,2.0,19.0,1,3.0,,4720.0
279,6,11,56,2.0,2,2,2.0,2.0,,2.0,24.0,1,1.0,5200.0,1820.0
280,6,9,57,2.0,2,2,2.0,2.0,,2.0,22.0,2,1.0,4002.0,2010.0
281,6,13,72,2.0,2,2,2.0,2.0,2.0,2.0,21.0,1,6.0,6203.0,
282,6,15,65,2.0,2,2,2.0,2.0,,2.0,22.0,2,6.0,5404.0,2010.0
283,6,5,80,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,
284,6,22,45,2.0,2,2,2.0,2.0,,2.0,23.0,2,1.0,6203.0,2100.0
285,6,12,30,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,2304.0,2310.0
286,6,10,10,2.0,2,2,,2.0,,2.0,7.0,1,,,
287,6,12,32,2.0,2,2,2.0,2.0,,2.0,18.0,1,1.0,,4220.0
288,6,14,50,2.0,2,2,2.0,2.0,,2.0,19.0,1,1.0,,8460.0
