,ST,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRATX,DREM,SCHL,SEX,ESR,FOD1P,OCCP10
302,25,35,34,2.0,2,2,2.0,2.0,,2.0,22.0,2,6.0,2300.0,2310.0
303,25,11,50,2.0,2,2,2.0,2.0,,2.0,16.0,1,6.0,,6230.0
304,25,10,50,2.0,2,1,2.0,2.0,,2.0,14.0,2,3.0,,4230.0
305,25,13,18,2.0,2,2,2.0,2.0,,2.0,13.0,1,3.0,,9920.0
306,25,11,16,2.0,2,2,2.0,2.0,,2.0,12.0,1,6.0,,
307,25,22,53,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,3400.0
308,25,22,52,2.0,2,2,2.0,2.0,2.0,2.0,20.0,2,1.0,,5620.0
309,25,20,22,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,6000.0,4760.0
310,25,11,83,2.0,2,2,2.0,2.0,2.0,2.0,16.0,1,6.0,,
311,25,12,78,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
312,25,5,94,2.0,1,2,2.0,1.0,,2.0,16.0,2,6.0,,
313,25,11,44,2.0,2,2,2.0,2.0,,2.0,24.0,1,1.0,5200.0,2040.0
314,25,16,38,2.0,2,2,2.0,2.0,,2.0,22.0,2,6.0,2307.0,
315,25,24,10,2.0,2,2,,2.0,,2.0,7.0,1,,,
316,25,14,8,2.0,2,2,,2.0,,2.0,5.0,2,,,
317,25,13,85,2.0,2,2,2.0,2.0,2.0,2.0,11.0,1,6.0,,
318,25,13,84,2.0,2,2,2.0,2.0,,2.0,11.0,2,6.0,,
319,25,16,53,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,5620.0
320,25,34,34,2.0,2,2,2.0,2.0,2.0,2.0,19.0,1,1.0,,540.0
